Id_cliente,fecha_efectiva,Id_tx,clase,valor
128,2021-01-13,4430,COMPRA,1248132.0
128,2021-01-13,4430,COMPRA,22946.42
128,2021-01-13,4430,COMPRA,337336.0
144,2021-01-19,9642,COMPRA,1420000.0
133,2020-11-30,6129,AVANCE,300000.0
151,2020-11-23,6059,COMPRA,6100.0
127,2020-10-24,3405,AVANCE,170000.0
141,2020-10-17,3045,COMPRA,36470.0
140,2020-10-17,7281,COMPRA,39502.0
142,2021-01-04,3205,COMPRA,120000.0
137,2020-09-30,3551,AVANCE,600000.0
111,2021-01-29,4415,AVANCE,800000.0
140,2021-02-06,4509,COMPRA,111750.0
102,2020-10-13,3348,AVANCE,800000.0
102,2020-10-13,3348,AVANCE,300000.0
122,2021-02-12,3348,AVANCE,800000.0
122,2021-02-12,3348,AVANCE,300000.0
141,2021-01-13,9777,COMPRA,76000.0
145,2020-12-22,2895,COMPRA,125824.98
115,2020-10-18,8342,COMPRA,186150.0
141,2021-01-03,3123,COMPRA,1446596.0
114,2020-12-07,6668,COMPRA,14900.0
125,2021-03-04,4953,COMPRA,1979000.0
127,2021-02-11,4470,COMPRA,26900.0
120,2021-01-25,4971,COMPRA,77990.0
132,2020-10-02,5841,COMPRA,97550.0
132,2020-10-02,5841,COMPRA,1749900.0
112,2020-10-16,5841,COMPRA,97550.0
112,2020-10-16,5841,COMPRA,1749900.0
128,2020-11-12,4603,COMPRA,154240.0
132,2020-11-05,8456,AVANCE,128000.0
142,2020-11-04,4306,COMPRA,18820.0
125,2020-12-30,3651,COMPRA,600323.0
133,2020-10-21,7885,COMPRA,16900.0
126,2020-09-23,4792,COMPRA,69913.0
126,2020-09-23,4792,COMPRA,87780.0
126,2020-12-12,4792,COMPRA,69913.0
126,2020-12-12,4792,COMPRA,87780.0
126,2020-11-05,7719,COMPRA,254119.0
124,2020-10-17,7093,COMPRA,176194.0
115,2020-12-23,8597,COMPRA,27590.0
121,2020-11-01,3749,COMPRA,146785.0
115,2020-11-01,5562,COMPRA,50000.0
115,2020-11-01,5562,COMPRA,553905.0
115,2020-11-01,5562,COMPRA,1869945.0
124,2021-01-12,5562,COMPRA,50000.0
124,2021-01-12,5562,COMPRA,553905.0
124,2021-01-12,5562,COMPRA,1869945.0
143,2020-09-10,5562,COMPRA,50000.0
143,2020-09-10,5562,COMPRA,553905.0
143,2020-09-10,5562,COMPRA,1869945.0
125,2021-01-10,4179,COMPRA,94900.0
129,2021-01-16,8239,COMPRA,16300.0
140,2020-10-14,2667,COMPRA,38900.0
140,2020-10-14,2667,COMPRA,141551.0
123,2020-11-13,2667,COMPRA,38900.0
123,2020-11-13,2667,COMPRA,141551.0
105,2021-02-10,4650,COMPRA,259000.0
125,2021-02-09,4208,AVANCE,450000.0
125,2021-02-09,4208,COMPRA,519528.0
127,2020-12-21,4208,AVANCE,450000.0
127,2020-12-21,4208,COMPRA,519528.0
154,2020-11-22,9787,COMPRA,104753.0
123,2020-10-26,3238,COMPRA,54950.0
125,2020-11-11,3572,AVANCE,220000.0
125,2020-11-11,3572,COMPRA,36300.0
122,2020-11-03,3572,AVANCE,220000.0
122,2020-11-03,3572,COMPRA,36300.0
123,2020-09-27,8233,COMPRA,168730.0
119,2020-10-27,7714,AVANCE,100000.0
125,2020-10-27,6126,COMPRA,127240.0
123,2020-10-27,3148,AVANCE,100000.0
121,2020-10-28,7672,COMPRA,28025.0
107,2020-11-09,2850,COMPRA,305355.0
119,2020-09-27,3549,AVANCE,150000.0
119,2020-09-27,3549,COMPRA,1058100.0
119,2020-09-27,3549,COMPRA,288593.0
138,2020-09-23,3549,AVANCE,150000.0
138,2020-09-23,3549,COMPRA,1058100.0
138,2020-09-23,3549,COMPRA,288593.0
110,2021-02-25,3549,AVANCE,150000.0
110,2021-02-25,3549,COMPRA,1058100.0
110,2021-02-25,3549,COMPRA,288593.0
135,2020-10-15,6214,COMPRA,110000.0
123,2021-01-29,3922,COMPRA,65552.0
123,2021-01-29,3922,COMPRA,116034.0
118,2021-02-20,3922,COMPRA,65552.0
118,2021-02-20,3922,COMPRA,116034.0
121,2021-02-11,6871,COMPRA,1727700.0
107,2020-11-01,4411,COMPRA,27540.0
115,2020-10-29,3758,AVANCE,800000.0
132,2021-01-11,4329,COMPRA,778000.0
132,2021-01-11,4329,COMPRA,120900.0
126,2020-09-09,4329,COMPRA,778000.0
126,2020-09-09,4329,COMPRA,120900.0
141,2020-11-28,2739,COMPRA,277000.0
133,2021-01-28,9474,COMPRA,134700.0
134,2020-11-03,5839,COMPRA,325131.0
144,2020-10-31,7113,COMPRA,51043.0
131,2020-11-09,2534,AVANCE,600000.0
124,2020-11-09,5827,COMPRA,17150.0
139,2021-02-25,4713,COMPRA,141418.0
122,2021-01-18,5093,COMPRA,1231000.0
137,2020-11-04,7909,AVANCE,500000.0
137,2020-11-04,7909,COMPRA,250000.0
137,2020-11-04,7909,COMPRA,111750.0
129,2020-09-14,7909,AVANCE,500000.0
129,2020-09-14,7909,COMPRA,250000.0
129,2020-09-14,7909,COMPRA,111750.0
110,2020-09-17,7909,AVANCE,500000.0
110,2020-09-17,7909,COMPRA,250000.0
110,2020-09-17,7909,COMPRA,111750.0
113,2020-09-26,6110,COMPRA,428830.0
